movieId,genreId
1,1
1,2
1,3
1,4
2,5
2,6
3,7
3,8
3,4
4,9
4,10
5,1
5,2
5,4
6,9
7,8
8,3
8,11
9,8
10,8
10,9
11,5
11,3
11,12
12,8
13,8
13,9
14,12
15,9
15,12
16,8
17,1
17,8
17,11
18,9
19,1
19,2
19,9
19,3
19,11
19,4
19,13
20,8
21,8
21,3
21,11
22,1
22,2
22,3
23,9
23,10
24,8
25,2
25,8
25,11
26,9
27,2
27,9
27,11
28,9
28,3
28,12
29,9
30,5
30,9
30,13
31,9
31,4
32,9
33,2
33,8
33,11
34,12
34,14
35,8
36,8
36,10
37,9
37,15
37,11
38,9
39,9
39,11
40,8
41,9
42,8
42,11
43,7
43,16
43,8
43,15
44,15
45,17
46,8
46,15
47,3
48,1
48,9
48,10
49,8
49,15
50,9
51,9
52,9
52,11
53,5
53,9
54,9
54,6
55,8
55,9
55,11
56,12
57,9
57,12
57,4
58,8
58,9
58,11
59,8
60,9
61,5
61,18
61,13
62,14
63,9
63,11
64,1
64,5
64,9
65,8
65,15
66,8
67,9
67,12
68,11
68,10
69,5
69,9
69,12
70,9
70,11
71,8
72,5
72,9
72,18
73,12
73,11
74,5
74,9
75,5
75,12
75,14
75,13
76,8
76,11
77,2
77,16
77,3
78,8
78,9
78,11
79,8
79,15
79,10
80,8
80,15
80,11
81,9
81,15
81,11
82,15
83,12
83,4
84,1
84,2
84,3
84,12
85,9
85,11
86,8
87,8
87,9
88,8
88,9
88,11
89,16
89,8
89,3
89,15
90,9
90,10
91,8
91,15
91,11
92,8
92,11
93,9
93,13
94,17
95,9
96,8
96,5
97,17
98,8
99,9
99,14
99,13
100,8
100,9
101,9
101,11
102,9
102,12
102,4
103,1
103,2
103,11
104,8
104,15
105,8
106,8
106,3
106,11
107,2
107,9
108,8
108,15
108,11
109,8
109,15
109,11
110,9
111,8
111,15
111,11
112,8
112,5
112,14
112,11
113,2
113,11
114,8
114,15
114,11
115,9
115,18
116,2
116,5
116,13
117,9
117,15
118,8
118,11
119,9
120,9
121,8
121,9
121,11
122,8
122,11
123,8
123,11
124,13
125,9
125,15
125,11
126,13
127,8
127,15
127,11
128,8
128,9
129,6
130,8
130,11
131,9
131,11
132,2
132,9
133,8
133,15
134,9
135,9
135,10
136,16
136,9
137,1
137,2
137,9
137,11
137,13
138,9
139,9
140,9
141,8
141,11
142,5
142,9
142,11
143,8
143,15
143,11
144,7
144,16
144,9
144,3
144,15
145,9
146,9
147,5
147,18
148,1
148,2
148,11
149,1
149,9
149,10
150,5
150,9
150,18
150,13
151,9
152,8
152,11
153,16
153,9
153,3
154,8
154,9
154,11
155,9
156,9
156,14
156,13
157,7
157,8
157,3
158,7
158,16
158,8
159,8
159,9
160,8
160,15
161,8
161,11
162,8
162,5
162,9
162,14
162,11
163,8
163,15
164,9
164,11
165,8
165,6
166,9
166,11
166,10
167,9
167,11
168,2
168,7
168,16
169,2
169,8
169,10
170,7
170,16
170,8
171,9
172,9
173,16
173,9
174,8
174,9
174,11
175,9
176,8
176,11
177,9
178,2
178,9
178,11
179,5
179,9
179,13
180,8
180,9
181,1
181,9
181,11
181,6
182,2
182,16
182,3
182,15
183,8
184,9
184,11
185,9
185,11
186,8
187,8
188,8
188,9
188,11
189,7
189,16
189,3
189,15
190,1
190,4
191,9
191,18
191,14
191,13
192,8
192,15
192,6
193,9
194,8
194,9
194,10
195,8
195,11
196,8
196,9
197,12
197,4
198,9
198,18
199,2
200,1
200,2
200,9
200,11
200,13
200,6
201,9
202,8
202,9
202,11
203,7
203,16
203,3
203,15
204,8
204,9
204,11
205,9
205,14
205,11
205,13
206,8
206,9
206,11
207,9
208,2
208,3
209,9
209,14
210,9
210,12
211,7
211,16
211,9
211,15
212,8
212,3
212,11
213,5
213,9
213,18
213,13
214,5
214,9
214,18
214,11
215,8
215,11
216,9
217,8
218,18
218,14
219,8
220,8
220,9
221,8
221,11
222,9
222,11
223,9
223,10
224,8
224,5
224,14
225,2
225,8
225,11
226,18
226,14
226,13
227,9
227,3
227,12
228,8
228,15
228,11
229,7
229,16
229,9
230,9
231,9
231,11
232,9
232,12
232,11
232,13
233,1
233,9
233,11
233,10
234,8
234,15
235,9
235,11
236,8
236,11
237,9
237,10
238,9
238,11
239,8
240,9
241,9
241,11
242,8
243,14
243,13
244,5
244,14
244,13
245,8
245,9
246,8
246,11
246,13
247,8
247,11
248,5
248,18
248,13
249,8
249,9
249,10
250,8
250,11
251,9
251,15
252,5
252,9
252,13
253,2
253,9
253,11
253,10
254,12
255,9
255,12
256,3
257,9
257,6
258,5
258,9
258,13
259,9
260,9
261,9
262,8
262,14
262,13
263,5
263,9
263,18
264,9
264,10
265,1
265,9
265,10
266,9
266,13
267,9
267,10
268,8
268,9
268,15
269,9
269,11
270,5
270,18
270,14
271,9
271,10
272,15
273,8
273,11
274,9
274,11
275,16
275,9
276,2
276,8
276,11
277,8
277,5
277,14
278,2
278,9
278,11
278,13
278,10
279,8
279,15
280,5
280,14
281,9
282,9
282,12
282,13
283,9
283,11
284,12
284,14
285,5
285,18
286,9
286,11
286,10
287,9
288,9
288,18
289,10
290,9
290,3
290,12
291,14
291,11
291,13
292,7
292,16
292,15
293,14
294,9
294,3
295,5
295,18
295,14
296,5
296,14
297,9
297,11
297,6
298,9
298,18
298,14
298,11
299,9
300,8
300,15
300,6
301,16
301,9
301,3
301,11
302,15
303,5
303,18
304,9
304,15
305,18
305,11
305,13
306,9
306,10
307,5
307,9
307,18
307,13
308,9
308,10
309,2
309,7
309,16
309,15
310,12
310,14
310,13
311,9
311,18
312,9
312,18
312,13
313,5
313,14
313,13
314,9
315,18
315,13
316,16
316,9
317,8
318,8
318,9
318,11
319,9
320,5
320,9
320,18
321,5
321,18
322,5
322,9
322,18
322,11
322,13
323,5
323,9
323,18
324,8
325,9
326,9
327,9
327,10
328,9
328,3
328,11
329,8
329,11
330,8
331,8
331,9
332,8
332,5
333,18
334,9
335,8
335,11
335,13
336,8
336,5
336,9
336,15
336,14
336,11
337,8
337,12
338,5
338,9
338,18
339,15
339,11
340,9
340,14
340,13
341,9
342,16
342,9
343,9
344,8
345,5
345,9
345,18
345,13
346,9
347,9
347,18
347,14
348,8
349,2
349,5
349,9
350,1
350,2
350,6
351,9
351,3
351,15
351,11
352,5
352,9
352,13
353,9
354,9
354,18
354,13
355,1
355,2
355,9
355,11
356,1
356,2
356,9
356,6
357,8
358,8
358,11
359,7
359,16
360,9
361,9
361,11
362,9
363,8
364,9
364,11
365,9
365,11
365,6
366,8
366,11
367,15
368,8
368,9
369,8
369,9
370,9
371,2
371,16
371,9
372,9
372,18
372,13
373,8
373,15
373,11
374,1
374,9
374,11
374,10
375,17
375,9
376,6
377,18
377,14
377,13
378,5
378,9
378,18
378,14
378,13
379,9
379,10
380,5
380,9
380,18
381,9
382,8
382,15
382,11
382,6
383,5
383,18
384,8
385,9
385,11
385,6
386,8
386,9
387,7
387,16
387,3
387,15
387,11
388,9
388,18
388,14
389,8
390,8
390,3
391,9
391,18
391,14
391,11
392,9
393,1
393,2
393,11
394,8
394,9
394,11
395,5
395,9
396,5
396,9
396,14
397,11
397,6
398,14
398,11
398,13
399,9
399,18
399,11
400,2
400,16
401,6
402,9
402,10
403,2
403,8
403,11
403,10
404,2
404,7
404,16
404,3
404,15
405,15
405,11
406,9
407,9
408,1
408,2
408,9
408,10
409,9
409,4
409,13
410,15
411,9
411,10
412,8
412,11
413,8
414,9
414,11
415,9
415,11
416,9
416,10
417,8
417,15
417,11
418,9
418,3
419,9
419,15
419,11
420,5
420,9
420,18
420,13
421,9
422,12
422,4
423,4
424,9
425,9
426,2
426,8
427,9
427,6
428,9
429,8
429,11
430,8
430,5
431,8
431,9
431,11
432,8
432,4
433,8
433,4
434,8
434,11
435,9
435,11
436,8
437,2
437,11
438,8
438,15
438,11
439,9
440,9
441,16
441,3
441,15
442,8
442,15
443,15
443,6
444,7
444,16
444,8
445,9
445,11
445,10
446,8
446,15
446,11
447,9
448,5
448,12
448,14
448,13
449,8
449,9
449,11
450,13
451,4
452,8
452,15
452,11
453,2
453,9
453,11
454,9
454,13
455,7
455,16
455,3
455,15
456,18
457,8
457,9
457,11
458,1
458,2
458,9
458,13
459,9
459,6
460,9
460,10
461,2
461,8
461,5
461,9
461,11
462,1
462,9
463,9
464,5
464,9
464,13
465,9
465,13
466,8
467,9
468,1
468,9
468,4
469,2
469,9
469,4
470,9
471,3
471,15
471,11
472,9
472,10
473,9
474,2
474,12
474,4
475,1
475,9
475,10
476,12
476,14
476,13
477,5
477,14
477,13
478,9
479,9
480,9
480,12
480,4
481,8
481,9
482,5
482,9
483,14
483,13
484,8
484,11
485,9
486,8
486,15
486,11
486,6
487,1
487,2
487,9
488,9
488,15
489,9
490,5
490,9
490,18
491,12
491,4
491,13
492,4
493,8
493,15
493,11
494,9
495,9
496,9
496,11
497,7
497,9
498,9
498,13
498,6
499,9
500,5
500,9
501,2
501,6
502,5
502,18
502,13
503,9
504,8
504,15
504,11
505,5
505,18
506,18
507,7
507,16
507,8
507,11
508,8
508,5
509,9
510,9
510,11
510,10
511,9
512,9
512,11
513,8
513,9
513,10
514,5
514,9
514,14
514,13
515,9
516,9
516,18
516,13
517,5
517,17
517,10
518,15
518,11
518,6
519,9
520,9
521,9
522,9
523,9
523,11
524,8
525,12
525,4
526,5
526,14
526,11
526,13
527,8
527,14
528,8
528,5
528,9
529,9
530,9
531,2
531,8
532,9
532,13
533,16
533,3
534,12
534,4
534,6
535,2
535,8
535,15
536,4
537,9
538,9
538,4
539,9
540,9
540,11
540,6
541,9
541,18
542,8
542,15
542,11
543,5
543,12
543,4
544,12
544,4
544,13
545,5
545,18
546,9
546,15
546,11
547,15
547,6
548,9
549,2
549,9
549,14
549,13
550,9
551,8
552,9
552,6
553,8
554,2
554,9
555,2
555,9
556,9
556,11
556,10
557,9
557,18
558,9
559,9
560,4
561,1
561,2
561,9
561,13
561,6
562,12
562,4
563,9
563,11
564,12
564,4
565,4
566,2
566,9
566,10
567,12
568,8
569,8
569,11
570,9
571,8
571,15
572,4
572,13
573,8
573,9
574,1
574,9
574,13
574,10
575,9
575,11
575,10
576,8
576,11
577,8
578,8
579,9
580,16
580,9
581,8
581,15
581,11
582,9
582,10
583,8
584,9
584,11
585,15
586,9
587,9
588,9
588,18
589,9
590,9
590,14
590,13
591,9
591,18
591,13
592,1
592,2
592,3
593,9
594,5
594,9
594,13
595,8
595,4
596,12
596,4
597,8
597,9
598,8
598,3
598,11
599,11
599,6
600,12
600,4
601,9
602,8
602,15
603,2
603,5
603,9
603,13
604,12
605,12
605,14
605,4
606,15
607,8
607,11
608,5
608,9
609,8
609,11
610,1
610,2
611,7
611,8
611,12
611,15
612,9
613,1
613,9
614,2
614,9
615,12
615,4
616,9
616,10
617,10
618,8
618,5
619,15
619,11
619,10
620,8
620,11
621,5
621,18
621,13
622,9
622,14
622,11
622,13
623,9
623,14
624,4
625,9
626,4
626,13
627,1
627,2
627,9
628,12
628,4
629,8
629,12
630,2
630,16
630,3
631,9
631,10
632,8
633,9
633,11
633,10
634,2
634,10
634,6
635,9
635,11
636,2
636,16
636,4
637,12
637,4
638,8
638,10
639,12
640,9
640,10
641,9
641,10
642,1
642,2
642,14
642,11
642,13
643,9
644,1
644,8
644,11
644,10
645,9
645,11
646,5
646,9
647,8
647,15
647,11
648,10
649,5
649,9
650,6
651,9
652,16
652,8
653,7
653,16
653,15
654,8
654,5
655,9
656,9
657,12
658,5
658,9
658,11
659,12
660,1
660,9
660,10
660,6
661,4
662,8
662,9
662,11
663,12
663,4
664,9
664,14
664,11
665,9
666,9
667,9
668,9
668,11
668,10
669,9
670,8
670,11
671,12
672,9
673,5
673,9
674,8
674,12
675,2
675,6
676,9
677,8
677,5
678,9
679,9
679,12
679,13
680,16
680,3
680,15
681,16
681,8
681,15
682,16
682,8
682,9
683,5
683,12
684,5
684,9
685,1
685,5
685,14
686,1
686,9
686,11
686,10
687,2
687,16
688,1
688,2
688,4
689,12
689,13
690,5
690,18
691,9
691,6
692,12
692,4
692,13
693,12
693,4
694,8
695,16
695,8
695,3
696,16
696,3
696,15
697,9
697,11
698,9
699,9
699,10
700,1
700,2
700,9
700,11
700,10
701,1
701,2
701,9
701,10
702,9
703,9
703,12
703,13
704,9
705,9
705,11
706,9
707,8
707,11
708,8
708,9
708,11
708,6
709,2
709,3
709,4
710,9
710,10
711,2
711,7
711,16
712,8
713,6
714,16
714,8
714,11
715,12
716,8
716,9
717,9
718,8
718,5
719,9
719,11
720,9
721,8
721,9
721,15
721,11
722,8
722,9
723,2
723,4
724,9
724,15
724,11
725,1
725,2
726,9
727,9
728,8
728,3
728,11
729,5
729,9
729,13
730,12
730,13
731,8
731,11
732,9
733,8
734,1
734,2
734,13
735,8
735,15
736,15
737,9
738,2
738,8
739,2
739,16
740,9
740,10
741,11
741,4
742,1
742,4
743,8
743,9
744,2
744,9
744,10
745,9
745,11
746,9
746,6
747,9
748,1
