movieId,viewerId,rating
3789,1,4.0
3657,1,4.0
3663,1,4.0
3765,1,5.0
3799,1,5.0
3912,1,3.0
3846,1,5.0
3593,1,4.0
3756,1,5.0
3352,1,5.0
3624,1,5.0
3586,1,5.0
3362,1,3.0
3383,1,5.0
3385,1,4.0
1401,1,5.0
3494,1,3.0
3528,1,3.0
3787,1,5.0
3361,1,4.0
3392,1,4.0
3429,1,5.0
3457,1,4.0
3345,1,3.0
3172,1,4.0
3193,1,5.0
3218,1,4.0
3241,1,3.0
3274,1,5.0
3287,1,4.0
3303,1,4.0
3304,1,5.0
2698,1,4.0
2541,1,4.0
2938,1,4.0
203,1,5.0
3897,1,5.0
3989,1,3.0
3951,1,5.0
4041,1,3.0
4025,1,4.0
4069,1,3.0
3946,1,3.0
4034,1,4.0
182,1,5.0
209,1,5.0
148,1,5.0
328,1,4.0
175,1,5.0
1273,1,3.0
1007,1,5.0
292,1,5.0
798,1,5.0
211,1,5.0
1390,1,3.0
1086,1,5.0
404,1,5.0
4056,1,4.0
3916,1,5.0
4051,1,4.0
1121,1,5.0
1497,1,5.0
3081,1,5.0
2181,1,4.0
2970,1,5.0
1728,1,5.0
2535,1,4.0
1245,1,5.0
1563,1,5.0
2340,1,5.0
1694,1,5.0
1090,1,5.0
1469,1,4.0
1840,1,5.0
2718,1,5.0
1464,1,4.0
683,1,2.0
1548,1,5.0
2277,1,5.0
2589,1,5.0
435,1,5.0
1959,1,5.0
79,1,5.0
1602,1,3.0
3198,1,4.0
1974,1,5.0
2139,1,5.0
1262,1,5.0
189,1,5.0
2594,1,5.0
1757,1,5.0
14,1,4.0
2971,1,3.0
3097,1,3.0
3037,1,3.0
4260,1,3.0
4119,1,4.0
4208,1,4.0
4109,1,5.0
4151,1,4.0
4181,1,5.0
4263,1,3.0
1639,1,5.0
4242,1,5.0
4238,1,4.0
4197,1,5.0
4226,1,3.0
4340,1,3.0
4121,1,5.0
4503,1,4.0
4379,1,4.0
4459,1,5.0
4505,1,4.0
4532,1,4.0
48,1,5.0
1340,1,5.0
2153,1,4.0
2307,1,4.0
2007,1,5.0
2684,1,4.0
229,1,5.0
4481,1,4.0
1976,1,5.0
2126,1,4.0
2133,1,5.0
2591,1,4.0
4458,1,5.0
958,1,5.0
1393,1,5.0
2053,1,3.0
2932,1,5.0
653,1,4.0
309,1,4.0
1781,1,4.0
1911,1,5.0
1443,1,5.0
1172,1,5.0
1768,1,5.0
2094,1,5.0
2020,1,4.0
1964,1,5.0
2392,1,4.0
2528,1,4.0
3105,1,2.0
3010,1,4.0
4480,1,4.0
2705,1,5.0
4390,1,5.0
4587,1,2.0
4416,1,5.0
84,1,4.0
4544,1,5.0
4767,1,2.0
4578,1,5.0
1947,1,4.0
2084,1,3.0
4496,1,5.0
2143,1,4.0
1254,1,5.0
2087,1,5.0
2213,1,4.0
4647,1,4.0
4753,1,5.0
1329,1,3.0
994,1,5.0
